№,Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
232,Buryat,Буряад,bxr,"2,771","11,035","69,807",2,"13,726",23,9,56,1000
233,Palatinate German,Pälzisch,pfl,"2,74","6,904","89,792",4,"10,687",14,0,30,1000
234,Pangasinan,Pangasinan,pag,"2,575","8,809","73,012",1,"7,533",13,0,49,1000
235,Papiamentu,Papiamentu,pap,"2,555","5,883","88,179",5,"13,299",22,0,25,1000
236,Pali,पाऴि,pi,"2,546","4,637","101,6",2,"6,599",10,0,15,1000
237,Hawaiian,Hawaiʻi,haw,"2,452","5,521","96,381",1,"14,941",18,0,27,1000
238,Awadhi,अवधी,awa,"2,436","5,345","24,089",1,"1,857",13,0,6,1000
239,Atayal,Tayal,tay,"2,42","2,815","54,039",0,"1,07",8,0,1,1000
240,Ingush,ГӀалгӀай,inh,"2,064","11,36","53,131",2,"3,222",17,34,95,1000
241,Karachay-Balkar,Къарачай-Малкъар (Qarachay-Malqar),krc,"2,057","14,324","106,171",2,"9,618",14,0,264,1000
242,Kalmyk,Хальмг,xal,"2,046","11,777","84,81",1,"9,226",16,0,163,1000
243,Twi,Twi,tw,"2,04","4,788","86,832",2,"13,455",35,0,33,1000
244,Sakizaya,Sakizaya,szy,"2,03","5,348","128,338",1,"2,277",12,0,64,1000
245,Zhuang,Cuengh,za,"2,01","4,139","39,27",1,"9,675",15,0,11,1000
246,Karakalpak,Qaraqalpaqsha,kaa,"1,931","5,066","45,487",1,"10,139",23,3,24,1000
247,Pennsylvania German,Deitsch,pdc,"1,931","5,833","105,093",1,"30,183",19,0,74,1000
248,Atikamekw,Atikamekw,atj,"1,908","3,01","14,652",5,"3,641",13,0,2,1000
249,Tongan,faka Tonga,to,"1,895","5,311","41,513",2,"9,172",15,12,25,1000
250,Dagbani,Dagbanli,dag,"1,879","4,376","40,839",3,"1,72",53,0,16,1000
251,Aramaic,ܐܪܡܝܐ,arc,"1,833","6,396","95,171",2,"18,674",15,0,92,1000
252,Moksha,Мокшень (Mokshanj Kälj),mdf,"1,824","11,389","63,79",3,"8,456",17,0,154,1000
253,Kabiye,Kabɩyɛ,kbp,"1,698","3,373","16,044",2,"3,798",9,0,5,1000
